symbol
BTCUSDT
ETHUSDT
BNBUSDT
BCCUSDT
NEOUSDT
LTCUSDT
QTUMUSDT
ADAUSDT
XRPUSDT
EOSUSDT
TUSDUSDT
IOTAUSDT
XLMUSDT
ONTUSDT
TRXUSDT
ETCUSDT
ICXUSDT
VENUSDT
NULSUSDT
VETUSDT
PAXUSDT
BCHABCUSDT
BCHSVUSDT
USDCUSDT
LINKUSDT
WAVESUSDT
BTTUSDT
USDSUSDT
ONGUSDT
HOTUSDT
ZILUSDT
ZRXUSDT
FETUSDT
BATUSDT
XMRUSDT
ZECUSDT
IOSTUSDT
CELRUSDT
DASHUSDT
NANOUSDT
OMGUSDT
THETAUSDT
ENJUSDT
MITHUSDT
MATICUSDT
ATOMUSDT
TFUELUSDT
ONEUSDT
FTMUSDT
ALGOUSDT
USDSBUSDT
GTOUSDT
ERDUSDT
DOGEUSDT
DUSKUSDT
ANKRUSDT
WINUSDT
COSUSDT
NPXSUSDT
COCOSUSDT
MTLUSDT
TOMOUSDT
PERLUSDT
DENTUSDT
MFTUSDT
KEYUSDT
STORMUSDT
DOCKUSDT
WANUSDT
FUNUSDT
CVCUSDT
CHZUSDT
BANDUSDT
BUSDUSDT
BEAMUSDT
XTZUSDT
RENUSDT
RVNUSDT
HCUSDT
HBARUSDT
NKNUSDT
STXUSDT
KAVAUSDT
ARPAUSDT
IOTXUSDT
RLCUSDT
MCOUSDT
CTXCUSDT
BCHUSDT
TROYUSDT
VITEUSDT
FTTUSDT
EURUSDT
OGNUSDT
DREPUSDT
BULLUSDT
BEARUSDT
ETHBULLUSDT
ETHBEARUSDT
TCTUSDT
WRXUSDT
BTSUSDT
LSKUSDT
BNTUSDT
LTOUSDT
EOSBULLUSDT
EOSBEARUSDT
XRPBULLUSDT
XRPBEARUSDT
STRATUSDT
AIONUSDT
MBLUSDT
COTIUSDT
BNBBULLUSDT
BNBBEARUSDT
STPTUSDT
WTCUSDT
DATAUSDT
XZCUSDT
SOLUSDT
CTSIUSDT
HIVEUSDT
CHRUSDT
GXSUSDT
ARDRUSDT
LENDUSDT
MDTUSDT
STMXUSDT
KNCUSDT
REPUSDT
LRCUSDT
PNTUSDT
COMPUSDT
BKRWUSDT
SCUSDT
ZENUSDT
SNXUSDT
VTHOUSDT
DGBUSDT
GBPUSDT
SXPUSDT
MKRUSDT
DAIUSDT
DCRUSDT
STORJUSDT
MANAUSDT
AUDUSDT
YFIUSDT
BALUSDT
BLZUSDT
IRISUSDT
KMDUSDT
JSTUSDT
SRMUSDT
ANTUSDT
CRVUSDT
SANDUSDT
